timestamp,container,cpu_perc,mem_usage,net_io,block_io
1784301297.9477286,stream-state-bench-flink-kafka,134.98%,409.9MiB / 31.28GiB,7.62MB / 8.5MB,0B / 27MB
1784301314.326423,flink_w1-flink-identity-1,2.11%,378MiB / 31.28GiB,1.65MB / 6.4MB,50.1MB / 23.9MB
1784301314.326423,stream-state-bench-flink-kafka,2.82%,419.1MiB / 31.28GiB,7.99MB / 8.92MB,0B / 27.7MB
1784301331.3502982,flink_w1-flink-identity-1,3.33%,382.2MiB / 31.28GiB,1.72MB / 6.68MB,50.1MB / 24MB
1784301331.3502982,stream-state-bench-flink-kafka,10.26%,432.9MiB / 31.28GiB,8.36MB / 9.33MB,0B / 28.6MB
1784301348.375093,flink_w1-flink-identity-1,3.49%,382.6MiB / 31.28GiB,1.8MB / 6.99MB,50.1MB / 24.1MB
1784301348.375093,stream-state-bench-flink-kafka,3.31%,436.8MiB / 31.28GiB,8.71MB / 9.71MB,0B / 29.4MB
1784301365.4014595,flink_w1-flink-identity-1,2.21%,382.7MiB / 31.28GiB,1.88MB / 7.27MB,50.1MB / 24.2MB
1784301365.4014595,stream-state-bench-flink-kafka,2.34%,446.1MiB / 31.28GiB,9.1MB / 10.2MB,0B / 30.2MB
1784301382.4307349,flink_w1-flink-identity-1,1.42%,382.8MiB / 31.28GiB,1.96MB / 7.58MB,50.1MB / 24.3MB
1784301382.4307349,stream-state-bench-flink-kafka,2.05%,453.4MiB / 31.28GiB,9.45MB / 10.5MB,0B / 30.9MB
1784301399.4737208,flink_w1-flink-identity-1,1.46%,382.8MiB / 31.28GiB,2.03MB / 7.88MB,50.1MB / 24.4MB
1784301399.4737208,stream-state-bench-flink-kafka,35.93%,462.8MiB / 31.28GiB,9.82MB / 10.9MB,0B / 31.9MB
1784301416.4989522,flink_w1-flink-identity-1,1.48%,382.9MiB / 31.28GiB,2.11MB / 8.18MB,50.1MB / 24.6MB
1784301416.4989522,stream-state-bench-flink-kafka,2.50%,470.8MiB / 31.28GiB,10.2MB / 11.4MB,0B / 32.6MB
1784301433.5289397,flink_w1-flink-identity-1,1.35%,382.9MiB / 31.28GiB,2.18MB / 8.46MB,50.1MB / 24.7MB
1784301433.5289397,stream-state-bench-flink-kafka,2.42%,480MiB / 31.28GiB,10.6MB / 11.8MB,0B / 33.5MB
1784301450.5541213,flink_w1-flink-identity-1,1.34%,383.7MiB / 31.28GiB,2.26MB / 8.77MB,50.1MB / 24.8MB
1784301450.5541213,stream-state-bench-flink-kafka,2.04%,489MiB / 31.28GiB,10.9MB / 12.2MB,0B / 34.3MB
1784301466.9054234,flink_w1-flink-identity-1,3.71%,384MiB / 31.28GiB,2.33MB / 9.05MB,50.1MB / 24.9MB
1784301466.9054234,stream-state-bench-flink-kafka,2.30%,497.7MiB / 31.28GiB,11.3MB / 12.6MB,0B / 35.4MB
1784301483.9319887,flink_w1-flink-identity-1,1.38%,384.1MiB / 31.28GiB,2.41MB / 9.35MB,50.1MB / 25MB
1784301483.9319887,stream-state-bench-flink-kafka,2.13%,505.6MiB / 31.28GiB,11.7MB / 13MB,0B / 36.2MB
1784301500.9614067,flink_w1-flink-identity-1,1.37%,384.1MiB / 31.28GiB,2.48MB / 9.65MB,50.1MB / 25.1MB
1784301500.9614067,stream-state-bench-flink-kafka,29.82%,516.6MiB / 31.28GiB,12MB / 13.4MB,0B / 37.3MB
1784301517.9882493,flink_w1-flink-identity-1,1.32%,384.1MiB / 31.28GiB,2.56MB / 9.94MB,50.1MB / 25.2MB
1784301517.9882493,stream-state-bench-flink-kafka,4.45%,531.6MiB / 31.28GiB,12.4MB / 13.8MB,0B / 38.1MB
1784301534.1047,flink_w1-flink-identity-1,1.59%,384.2MiB / 31.28GiB,2.63MB / 10.2MB,50.1MB / 25.4MB
1784301534.1047,stream-state-bench-flink-kafka,19.61%,549.5MiB / 31.28GiB,12.8MB / 14.2MB,0B / 39.1MB
1784301551.1374772,flink_w1-flink-identity-1,1.28%,384.2MiB / 31.28GiB,2.71MB / 10.5MB,50.1MB / 25.5MB
1784301551.1374772,stream-state-bench-flink-kafka,2.01%,541MiB / 31.28GiB,13.1MB / 14.6MB,20.5kB / 39.9MB
1784301568.1645596,flink_w1-flink-identity-1,1.32%,384.3MiB / 31.28GiB,2.78MB / 10.8MB,50.1MB / 25.6MB
1784301568.1645596,stream-state-bench-flink-kafka,265.05%,662.6MiB / 31.28GiB,13.5MB / 15MB,20.5kB / 40.8MB
1784301585.1992285,flink_w1-flink-identity-1,4.26%,384.7MiB / 31.28GiB,2.86MB / 11.1MB,50.1MB / 25.7MB
1784301585.1992285,stream-state-bench-flink-kafka,2.05%,557.1MiB / 31.28GiB,13.8MB / 15.4MB,20.5kB / 41.5MB
1784301601.5296042,flink_w1-flink-identity-1,61.03%,388.8MiB / 31.28GiB,2.93MB / 11.4MB,50.1MB / 25.8MB
1784301601.5296042,stream-state-bench-flink-kafka,106.76%,568.8MiB / 31.28GiB,14.2MB / 15.9MB,20.5kB / 42.5MB
1784301618.556885,flink_w1-flink-identity-1,1.33%,389MiB / 31.28GiB,3.01MB / 11.7MB,50.1MB / 25.9MB
1784301618.556885,stream-state-bench-flink-kafka,2.59%,575MiB / 31.28GiB,14.5MB / 16.2MB,20.5kB / 43.2MB
1784301635.5844798,flink_w1-flink-identity-1,1.40%,389MiB / 31.28GiB,3.08MB / 12MB,50.1MB / 26MB
1784301635.5844798,stream-state-bench-flink-kafka,281.15%,684.6MiB / 31.28GiB,14.9MB / 16.6MB,20.5kB / 44MB
1784301652.6121767,flink_w1-flink-identity-1,1.57%,389.1MiB / 31.28GiB,3.16MB / 12.3MB,50.1MB / 26.1MB
1784301652.6121767,stream-state-bench-flink-kafka,1.82%,592.3MiB / 31.28GiB,15.3MB / 17MB,20.5kB / 44.8MB
1784301668.968645,flink_w1-flink-identity-1,1.81%,389.2MiB / 31.28GiB,3.23MB / 12.5MB,50.1MB / 26.2MB
1784301668.968645,stream-state-bench-flink-kafka,91.08%,602.6MiB / 31.28GiB,15.7MB / 17.5MB,20.5kB / 45.7MB
1784301685.996879,flink_w1-flink-identity-1,1.21%,389.5MiB / 31.28GiB,3.31MB / 12.8MB,50.1MB / 26.3MB
1784301685.996879,stream-state-bench-flink-kafka,1.87%,608.9MiB / 31.28GiB,16MB / 17.9MB,20.5kB / 46.5MB
1784301703.0246441,flink_w1-flink-identity-1,5.25%,390MiB / 31.28GiB,3.39MB / 13.1MB,50.1MB / 26.5MB
1784301703.0246441,stream-state-bench-flink-kafka,260.15%,702.9MiB / 31.28GiB,16.4MB / 18.3MB,20.5kB / 47.5MB
1784301720.056645,flink_w1-flink-identity-1,1.35%,389.9MiB / 31.28GiB,3.46MB / 13.4MB,50.1MB / 26.6MB
1784301720.056645,stream-state-bench-flink-kafka,1.92%,629.2MiB / 31.28GiB,16.7MB / 18.7MB,20.5kB / 48.3MB
1784301737.0802789,flink_w1-flink-identity-1,1.18%,394.2MiB / 31.28GiB,3.54MB / 13.7MB,50.1MB / 26.7MB
1784301737.0802789,stream-state-bench-flink-kafka,277.12%,718.4MiB / 31.28GiB,17.1MB / 19.1MB,20.5kB / 49.3MB
1784301754.1121228,flink_w1-flink-identity-1,1.19%,394.2MiB / 31.28GiB,3.62MB / 14MB,50.1MB / 26.7MB
1784301754.1121228,stream-state-bench-flink-kafka,26.66%,642.5MiB / 31.28GiB,17.5MB / 19.5MB,20.5kB / 50.3MB
1784301770.2020547,flink_w1-flink-identity-1,1.40%,394.2MiB / 31.28GiB,3.69MB / 14.3MB,50.1MB / 26.8MB
1784301770.2020547,stream-state-bench-flink-kafka,228.34%,765.2MiB / 31.28GiB,17.9MB / 19.9MB,20.5kB / 51.1MB
1784301787.2277174,flink_w1-flink-identity-1,1.20%,394.3MiB / 31.28GiB,3.76MB / 14.6MB,50.1MB / 26.9MB
1784301787.2277174,stream-state-bench-flink-kafka,2.02%,660MiB / 31.28GiB,18.2MB / 20.3MB,20.5kB / 51.9MB
