event_id,send_time_ns,receive_time_ns,latency_ms
join-l-0-r-0,850114624551463,850117933233032,3308.682
join-l-75-r-1,850114674023404,850117933237602,3259.214
join-l-76-r-1,850114674023404,850117933238552,3259.215
join-l-1-r-1,850114674023404,850117933258042,3259.235
join-l-2-r-2,850114723964737,850117933259262,3209.295
join-l-84-r-2,850114723964737,850117933260542,3209.296
join-l-3-r-3,850114773983859,850117933261662,3159.278
join-l-4-r-4,850114823976211,850117933266402,3109.29
join-l-52-r-4,850114823976211,850117933268032,3109.292
join-l-5-r-5,850114873971924,850117933274112,3059.302
join-l-6-r-6,850114923956946,850117933274932,3009.318
join-l-58-r-6,850114923956946,850117933275802,3009.319
join-l-7-r-7,850114973977429,850117933292772,2959.315
join-l-8-r-8,850115023975631,850117933293672,2909.318
join-l-22-r-9,850115073992884,850117933294382,2859.301
join-l-9-r-9,850115073992884,850117933295072,2859.302
join-l-10-r-10,850115124049437,850117933295732,2809.246
join-l-11-r-11,850115173990169,850117933296632,2759.306
join-l-19-r-11,850115173990169,850117933297352,2759.307
join-l-41-r-11,850115173990169,850117933297972,2759.308
join-l-12-r-12,850115223977141,850117933298632,2709.321
join-l-17-r-12,850115223977141,850117933305102,2709.328
join-l-72-r-13,850115273980214,850117933340002,2659.36
join-l-13-r-13,850115273980214,850117933340872,2659.361
join-l-14-r-14,850115323980156,850117933341692,2609.362
join-l-15-r-15,850115374024349,850117933373092,2559.349
join-l-91-r-16,850115423969821,850117933380283,2509.41
join-l-16-r-16,850115423969821,850117933381073,2509.411
join-l-12-r-17,850115474424395,850117933477943,2459.054
join-l-17-r-17,850115474424395,850117933478953,2459.055
join-l-18-r-18,850115524025736,850117933479683,2409.454
join-l-74-r-18,850115524025736,850117933480383,2409.455
join-l-11-r-19,850115573993439,850117933481033,2359.488
join-l-19-r-19,850115573993439,850117933482313,2359.489
join-l-41-r-19,850115573993439,850117933483013,2359.49
join-l-78-r-20,850115623990671,850117933492923,2309.502
join-l-20-r-20,850115623990671,850117933493703,2309.503
join-l-21-r-21,850115674025854,850117933494363,2259.469
join-l-22-r-22,850115724026416,850117933544253,2209.518
join-l-9-r-22,850115724026416,850117933545083,2209.519
join-l-23-r-23,850115774035459,850117933572803,2159.537
join-l-95-r-23,850115774035459,850117933590183,2159.555
join-l-24-r-24,850115823997901,850117933590763,2109.593
join-l-39-r-25,850115874032484,850117933625813,2059.593
join-l-25-r-25,850115874032484,850117933626303,2059.594
join-l-26-r-26,850115923990786,850117933651093,2009.66
join-l-54-r-27,850115973994569,850117933651543,1959.657
join-l-27-r-27,850115973994569,850117933680793,1959.686
join-l-28-r-28,850116023997961,850117933705033,1909.707
join-l-29-r-29,850116073989854,850117933705463,1859.716
join-l-30-r-30,850116123969186,850117933720403,1809.751
join-l-96-r-30,850116123969186,850117933726333,1809.757
join-l-31-r-31,850116173959738,850117933754044,1759.794
join-l-80-r-31,850116173959738,850117933791394,1759.832
join-l-92-r-31,850116173959738,850117933792034,1759.832
join-l-66-r-32,850116223961011,850117933792504,1709.831
join-l-32-r-32,850116223961011,850117933825844,1709.865
join-l-53-r-32,850116223961011,850117933826294,1709.865
join-l-33-r-33,850116273958283,850117933841304,1659.883
join-l-34-r-34,850116323978116,850117933845594,1609.867
join-l-62-r-35,850116373966428,850117933893064,1559.927
join-l-82-r-35,850116373966428,850117933893524,1559.927
join-l-35-r-35,850116373966428,850117933930314,1559.964
join-l-63-r-35,850116373966428,850117933989344,1560.023
join-l-67-r-36,850116423965671,850117933990304,1510.025
join-l-36-r-36,850116423965671,850117934047434,1510.082
join-l-44-r-37,850116473961053,850117934048434,1460.087
join-l-37-r-37,850116473961053,850117934104175,1460.143
join-l-38-r-38,850116523965336,850117934105155,1410.14
join-l-39-r-39,850116573961278,850117934113835,1360.153
join-l-25-r-39,850116573961278,850117934114615,1360.153
join-l-87-r-40,850116623963791,850117934125965,1310.162
join-l-40-r-40,850116623963791,850117934126625,1310.163
join-l-49-r-40,850116623963791,850117934139235,1310.175
join-l-11-r-41,850116673964403,850117934190655,1260.226
join-l-19-r-41,850116673964403,850117934210155,1260.246
join-l-41-r-41,850116673964403,850117934210775,1260.246
join-l-42-r-42,850116723956626,850117934252435,1210.296
join-l-43-r-43,850116773997908,850117934253145,1160.255
join-l-44-r-44,850116824011071,850117934259225,1110.248
join-l-37-r-44,850116824011071,850117934326015,1110.315
join-l-45-r-45,850116874034883,850117934326665,1060.292
join-l-46-r-46,850116924006306,850118776188025,1852.182
join-l-47-r-47,850116974052318,850118776191235,1802.139
join-l-56-r-47,850116974052318,850118776192415,1802.14
join-l-48-r-48,850117023976051,850118776193225,1752.217
join-l-87-r-49,850117073966253,850118776193985,1702.228
join-l-40-r-49,850117073966253,850118776194895,1702.229
join-l-49-r-49,850117073966253,850118776195555,1702.229
join-l-50-r-50,850117123972056,850118776196265,1652.224
join-l-51-r-51,850117173970488,850118776226275,1602.256
join-l-68-r-51,850117173970488,850118776227215,1602.257
join-l-85-r-51,850117173970488,850118776228125,1602.258
join-l-4-r-52,850117223966161,850118776230265,1552.264
join-l-52-r-52,850117223966161,850118776426145,1552.46
join-l-66-r-53,850117273966513,850118776427715,1502.461
join-l-32-r-53,850117273966513,850118776428475,1502.462
join-l-53-r-53,850117273966513,850118776429146,1502.463
join-l-54-r-54,850117323986106,850118776429786,1452.444
join-l-27-r-54,850117323986106,850118776430386,1452.444
join-l-55-r-55,850117373961638,850118776430966,1402.469
join-l-47-r-56,850117423973611,850118776431546,1352.458
join-l-56-r-56,850117423973611,850118776432136,1352.459
join-l-59-r-57,850117473966143,850118776432756,1302.467
join-l-57-r-57,850117473966143,850118776433356,1302.467
join-l-6-r-58,850117523967916,850118776433976,1252.466
join-l-58-r-58,850117523967916,850118776434646,1252.467
join-l-59-r-59,850117573966528,850118776435236,1202.469
join-l-57-r-59,850117573966528,850118776435936,1202.469
join-l-60-r-60,850117623968731,850118776550886,1152.582
join-l-61-r-61,850117673990613,850118776552546,1102.562
join-l-62-r-62,850117723985206,850118776564306,1052.579
join-l-82-r-62,850117723985206,850118776565206,1052.58
join-l-35-r-62,850117723985206,850118776674616,1052.689
join-l-63-r-62,850117723985206,850118776675646,1052.69
join-l-62-r-63,850117773985718,850118776676136,1002.69
join-l-82-r-63,850117773985718,850118776676606,1002.691
join-l-35-r-63,850117773985718,850118776677036,1002.691
join-l-63-r-63,850117773985718,850118776677456,1002.692
join-l-64-r-64,850117823977001,850118776677876,952.701
join-l-65-r-65,850117873983843,850118776684996,902.701
join-l-66-r-66,850117924013006,850118776685466,852.672
join-l-32-r-66,850117924013006,850118776685876,852.673
join-l-53-r-66,850117924013006,850118776686336,852.673
join-l-67-r-67,850117973977939,850119773773548,1799.796
join-l-36-r-67,850117973977939,850119773776518,1799.799
join-l-51-r-68,850118024033991,850119773777918,1749.744
join-l-68-r-68,850118024033991,850119773801608,1749.768
join-l-85-r-68,850118024033991,850119773802448,1749.768
join-l-69-r-69,850118074023404,850119773804768,1699.781
join-l-70-r-70,850118124021326,850119773805508,1649.784
join-l-71-r-71,850118174021199,850119773806188,1599.785
join-l-72-r-72,850118223955531,850119773820548,1549.865
join-l-13-r-72,850118223955531,850119773821338,1549.866
join-l-73-r-73,850118273959283,850119773821988,1499.863
join-l-18-r-74,850118323979426,850119773822588,1449.843
join-l-74-r-74,850118323979426,850119773823198,1449.844
join-l-75-r-75,850118373959718,850119773823818,1399.864
join-l-76-r-75,850118373959718,850119773957259,1399.998
join-l-1-r-75,850118373959718,850119773958799,1399.999
join-l-75-r-76,850118423962711,850119773959539,1349.997
join-l-76-r-76,850118423962711,850119773960209,1349.997
join-l-1-r-76,850118423962711,850119773960889,1349.998
join-l-86-r-77,850118473966383,850119773961649,1299.995
join-l-77-r-77,850118473966383,850119773962289,1299.996
join-l-78-r-78,850118523972166,850119773962909,1249.991
join-l-20-r-78,850118523972166,850119773963509,1249.991
join-l-79-r-79,850118573962358,850119773964129,1200.002
join-l-31-r-80,850118623968151,850119773964829,1149.997
join-l-80-r-80,850118623968151,850119773965739,1149.998
