event_id,send_time_ns,receive_time_ns,latency_ms
fm-e-0,848119458453284,848122090513388,2632.06
fm-e-1,848119557693421,848122090516298,2532.823
fm-e-3,848119757708218,848122090517218,2332.809
fm-e-4,848119857719517,848122090518298,2232.799
fm-e-5,848119957710485,848122090518958,2132.808
fm-e-8,848120257715941,848122090519868,1832.804
fm-e-9,848120357727279,848122090520588,1732.793
fm-e-10,848120457677708,848122090523458,1632.846
fm-e-11,848120557684116,848122090524488,1532.84
fm-e-12,848120657688715,848122090525288,1432.837
fm-e-13,848120757671863,848122090525888,1332.854
fm-e-15,848120957687271,848122090538778,1132.852
fm-e-16,848121057674919,848122090539378,1032.864
fm-e-17,848121157694628,848122090539888,932.845
fm-e-21,848121557719453,848122090540468,532.821
fm-e-23,848121757699380,848122927776060,1170.077
fm-e-28,848122257667543,848122927779350,670.112
fm-e-30,848122457683091,848122927781370,470.098
fm-e-31,848122557681050,848122927782430,370.101
fm-e-33,848122757691337,848122927783200,170.092
fm-e-34,848122857684046,848123926040335,1068.356
fm-e-38,848123257677711,848123926052285,668.375
fm-e-39,848123357680700,848123926053125,568.372
fm-e-42,848123657680517,848123926053565,268.373
fm-e-44,848123857699745,848123926053965,68.354
fm-e-45,848123957704714,848125926372887,1968.668
fm-e-46,848124057678923,848125926375097,1868.696
fm-e-47,848124157665692,848125926375857,1768.71
fm-e-48,848124257665491,848125926376387,1668.711
fm-e-49,848124357675170,848125926376837,1568.702
fm-e-50,848124457670249,848125926377347,1468.707
fm-e-56,848125057705803,848126925161137,1867.455
fm-e-57,848125157712332,848126925163397,1767.451
fm-e-58,848125257673121,848126925165277,1667.492
fm-e-59,848125357664060,848126925165827,1567.502
fm-e-60,848125457675900,848126925166357,1467.49
fm-e-61,848125557679318,848126925166837,1367.488
fm-e-64,848125857672636,848126925167277,1067.495
fm-e-65,848125957672545,848126925167737,967.495
fm-e-66,848126057680734,848126925168217,867.487
fm-e-67,848126157673294,848127925817082,1768.144
fm-e-77,848127157674276,848127925821452,768.147
fm-e-78,848127257683296,848128927631780,1669.948
fm-e-80,848127457710344,848128927634610,1469.924
fm-e-81,848127557679343,848128927635750,1369.956
fm-e-83,848127757677772,848128927650570,1169.973
fm-e-84,848127857690962,848128927651370,1069.96
fm-e-85,848127957671071,848128927652020,969.981
fm-e-86,848128057667650,848128927652800,869.985
fm-e-90,848128457671078,848129925175579,1467.505
fm-e-91,848128557711597,848129925177059,1367.465
fm-e-92,848128657708037,848129925177399,1267.469
fm-e-94,848128857672485,848129925177909,1067.505
fm-e-95,848128957675995,848129925178789,967.503
fm-e-96,848129057678904,848129925179069,867.5
fm-e-97,848129157693724,848129925179399,767.486
