timestamp_ms,topic,lag
1784304136903,bench-w2-latency-input,101
1784304143658,bench-w2-latency-input,101
1784304150442,bench-w2-latency-input,101
1784304157236,bench-w2-latency-input,101
1784304163939,bench-w2-latency-input,202
1784304170676,bench-w2-latency-input,101
1784304177436,bench-w2-latency-input,101
1784304184123,bench-w2-latency-input,101
1784304190880,bench-w2-latency-input,101
1784304197636,bench-w2-latency-input,101
1784304204451,bench-w2-latency-input,101
1784304211182,bench-w2-latency-input,101
1784304217915,bench-w2-latency-input,101
1784304224666,bench-w2-latency-input,101
1784304231399,bench-w2-latency-input,101
1784304238082,bench-w2-latency-input,101
1784304244794,bench-w2-latency-input,101
1784304251578,bench-w2-latency-input,101
1784304258316,bench-w2-latency-input,101
1784304265018,bench-w2-latency-input,101
1784304271766,bench-w2-latency-input,101
1784304278530,bench-w2-latency-input,101
1784304285223,bench-w2-latency-input,101
1784304291931,bench-w2-latency-input,101
1784304298679,bench-w2-latency-input,100
1784304305488,bench-w2-latency-input,101
1784304312250,bench-w2-latency-input,101
1784304318977,bench-w2-latency-input,101
1784304325764,bench-w2-latency-input,101
1784304332497,bench-w2-latency-input,101
1784304339226,bench-w2-latency-input,101
1784304345945,bench-w2-latency-input,100
1784304352747,bench-w2-latency-input,101
1784304359517,bench-w2-latency-input,101
1784304366222,bench-w2-latency-input,101
1784304373044,bench-w2-latency-input,101
1784304379806,bench-w2-latency-input,101
1784304386498,bench-w2-latency-input,101
1784304393206,bench-w2-latency-input,101
1784304399953,bench-w2-latency-input,100
1784304406723,bench-w2-latency-input,101
1784304413415,bench-w2-latency-input,101
1784304420137,bench-w2-latency-input,101
1784304426939,bench-w2-latency-input,101
1784304433696,bench-w2-latency-input,101
1784304440389,bench-w2-latency-input,101
1784304447126,bench-w2-latency-input,101
1784304453953,bench-w2-latency-input,101
1784304460663,bench-w2-latency-input,101
1784304467329,bench-w2-latency-input,101
1784304474072,bench-w2-latency-input,101
1784304480859,bench-w2-latency-input,101
1784304487588,bench-w2-latency-input,101
1784304494336,bench-w2-latency-input,101
1784304500994,bench-w2-latency-input,101
1784304507698,bench-w2-latency-input,101
1784304514487,bench-w2-latency-input,101
1784304521157,bench-w2-latency-input,101
1784304527850,bench-w2-latency-input,101
1784304534539,bench-w2-latency-input,202
1784304541299,bench-w2-latency-input,101
1784304547986,bench-w2-latency-input,101
1784304554660,bench-w2-latency-input,101
1784304561415,bench-w2-latency-input,101
1784304568177,bench-w2-latency-input,101
1784304574935,bench-w2-latency-input,202
1784304581664,bench-w2-latency-input,101
1784304588399,bench-w2-latency-input,101
1784304595144,bench-w2-latency-input,202
1784304601866,bench-w2-latency-input,101
1784304608562,bench-w2-latency-input,101
1784304615339,bench-w2-latency-input,202
1784304622114,bench-w2-latency-input,101
1784304628839,bench-w2-latency-input,101
1784304635546,bench-w2-latency-input,202
1784304642323,bench-w2-latency-input,101
1784304649111,bench-w2-latency-input,101
1784304655772,bench-w2-latency-input,101
1784304662523,bench-w2-latency-input,101
1784304669310,bench-w2-latency-input,101
1784304676050,bench-w2-latency-input,101
1784304682748,bench-w2-latency-input,101
1784304689507,bench-w2-latency-input,101
1784304696255,bench-w2-latency-input,101
1784304702979,bench-w2-latency-input,101
1784304709763,bench-w2-latency-input,101
1784304716514,bench-w2-latency-input,101
1784304723266,bench-w2-latency-input,101
1784304729967,bench-w2-latency-input,101
1784304736647,bench-w2-latency-input,101
1784304743407,bench-w2-latency-input,101
1784304750176,bench-w2-latency-input,101
1784304756899,bench-w2-latency-input,101
1784304763597,bench-w2-latency-input,101
1784304770341,bench-w2-latency-input,101
1784304777071,bench-w2-latency-input,101
1784304783761,bench-w2-latency-input,101
1784304790425,bench-w2-latency-input,101
1784304797183,bench-w2-latency-input,101
1784304803905,bench-w2-latency-input,78
1784304810588,bench-w2-latency-input,78
1784304817396,bench-w2-latency-input,0
1784304824095,bench-w2-latency-input,0
1784304830830,bench-w2-latency-input,0
1784304837582,bench-w2-latency-input,0
1784304844386,bench-w2-latency-input,0
1784304851061,bench-w2-latency-input,0
1784304857817,bench-w2-latency-input,0
1784304864572,bench-w2-latency-input,0
1784304871305,bench-w2-latency-input,0
1784304878017,bench-w2-latency-input,0
1784304884785,bench-w2-latency-input,0
1784304891618,bench-w2-latency-input,0
1784304898323,bench-w2-latency-input,0
1784304905015,bench-w2-latency-input,0
1784304911738,bench-w2-latency-input,0
1784304918525,bench-w2-latency-input,0
1784304925237,bench-w2-latency-input,0
1784304931916,bench-w2-latency-input,0
1784304938649,bench-w2-latency-input,0
1784304945398,bench-w2-latency-input,0
1784304952131,bench-w2-latency-input,0
1784304958828,bench-w2-latency-input,0
1784304965615,bench-w2-latency-input,0
1784304972350,bench-w2-latency-input,0
1784304979027,bench-w2-latency-input,0
1784304985742,bench-w2-latency-input,0
1784304992468,bench-w2-latency-input,0
1784304999253,bench-w2-latency-input,0
1784305005946,bench-w2-latency-input,0
1784305012656,bench-w2-latency-input,0
1784305019423,bench-w2-latency-input,0
