engine,workload_id,workload,run_label,rate_per_sec,produced_records,expected_output_records,matched_records,consumed_records,passed,p50_ms,p95_ms,p99_ms,max_ms,p99_write_to_input_append_latency_ms,p99_input_append_to_result_emission_latency_ms,p99_l_visibility_ms,p99_l_closure_ms,result_dir
kafka_streams,,identity,failure_kraft_failover_trial4,20.0,2000,2000,2000,2000,True,1381.363,1882.873,2116.25,3116.86,1410.1,62.0,935.152,,experiments/results/kafka_streams_identity_latency_failure_kraft_failover_trial4
kafka_streams,,identity,failure_kraft_failover_trial5,20.0,2000,2000,2000,2000,True,1501.951,1996.156,2360.001,3359.917,1383.772,60.0,1092.736,,experiments/results/kafka_streams_identity_latency_failure_kraft_failover_trial5
kafka_streams,,identity,failure_node_loss,20.0,2000,2000,2000,2000,True,1482.897,39185.105,43184.776,44184.734,1472.06,42202.0,1046.782,,experiments/results/kafka_streams_identity_latency_failure_node_loss
kafka_streams,,identity,failure_node_loss_trial1,20.0,2000,2000,2000,2000,True,1328.952,40075.318,44074.786,45074.742,1500.268,43067.0,980.486,,experiments/results/kafka_streams_identity_latency_failure_node_loss_trial1
kafka_streams,,identity,failure_node_loss_trial2,20.0,2000,2000,2000,2000,True,1873.22,40340.164,44340.1,45340.081,1423.368,43158.0,1160.737,,experiments/results/kafka_streams_identity_latency_failure_node_loss_trial2
kafka_streams,,identity,failure_node_loss_trial3,20.0,2000,2000,2000,2000,True,1821.818,39265.708,43265.319,44265.254,1457.334,42213.0,1063.883,,experiments/results/kafka_streams_identity_latency_failure_node_loss_trial3
kafka_streams,,identity,failure_node_loss_trial4,20.0,2000,2000,2000,2000,True,1878.796,40051.482,44050.919,45050.886,1428.633,42939.0,1186.882,,experiments/results/kafka_streams_identity_latency_failure_node_loss_trial4
kafka_streams,,identity,failure_node_loss_trial5,20.0,2000,2000,2000,2000,True,1630.049,38759.823,42758.298,43758.271,1354.85,41657.0,1073.455,,experiments/results/kafka_streams_identity_latency_failure_node_loss_trial5
kafka_streams,,identity,failure_s3_throttling,20.0,2000,2000,2000,2000,True,1219.519,1920.316,2036.042,2977.9,1521.352,71.0,1032.651,,experiments/results/kafka_streams_identity_latency_failure_s3_throttling
kafka_streams,,identity,failure_s3_throttling_trial1,20.0,2000,2000,2000,2000,True,1524.358,2023.014,2497.053,3497.06,1505.941,61.0,1042.671,,experiments/results/kafka_streams_identity_latency_failure_s3_throttling_trial1
kafka_streams,,identity,failure_s3_throttling_trial2,20.0,2000,2000,2000,2000,True,1428.425,1922.945,2304.927,3304.497,1421.766,37.0,946.236,,experiments/results/kafka_streams_identity_latency_failure_s3_throttling_trial2
kafka_streams,,identity,failure_s3_throttling_trial3,20.0,2000,2000,2000,2000,True,1527.77,2022.926,2385.796,3385.833,1408.738,73.0,1039.135,,experiments/results/kafka_streams_identity_latency_failure_s3_throttling_trial3
kafka_streams,,identity,failure_s3_throttling_trial4,20.0,2000,2000,2000,2000,True,1329.972,1824.931,2229.745,3229.661,1449.905,60.0,840.569,,experiments/results/kafka_streams_identity_latency_failure_s3_throttling_trial4
kafka_streams,,identity,failure_s3_throttling_trial5,20.0,2000,2000,2000,2000,True,642.675,1132.501,2648.648,3648.638,1483.11,101.0,1108.538,,experiments/results/kafka_streams_identity_latency_failure_s3_throttling_trial5
kafka_streams,,sliding_sum,failure_broker_kill,20.0,2001,1286,1286,1286,True,4926.381,18126.06,22871.165,28957.041,1001.388,22239.0,86.848,1784415261644.0,experiments/results/kafka_streams_sliding_sum_latency_failure_broker_kill
kafka_streams,,sliding_sum,failure_broker_kill_trial1,20.0,2001,1286,1286,1286,True,5434.305,18738.875,23010.464,28916.097,1001.468,22857.0,91.067,1784524648033.0,experiments/results/kafka_streams_sliding_sum_latency_failure_broker_kill_trial1
kafka_streams,,sliding_sum,failure_broker_kill_trial2,20.0,2001,1286,1286,1286,True,6112.675,18921.873,23492.978,37308.68,1001.314,22907.0,126.021,1784561837926.0,experiments/results/kafka_streams_sliding_sum_latency_failure_broker_kill_trial2
kafka_streams,,sliding_sum,failure_broker_kill_trial3,20.0,2001,1286,1286,1286,True,5439.742,20170.166,23869.98,40820.588,1002.575,23174.0,95.406,1784569902681.0,experiments/results/kafka_streams_sliding_sum_latency_failure_broker_kill_trial3
kafka_streams,,sliding_sum,failure_broker_kill_trial4,20.0,2001,1286,1286,1286,True,5596.485,21296.698,25427.757,42378.428,1001.67,24483.0,97.063,1784545228670.0,experiments/results/kafka_streams_sliding_sum_latency_failure_broker_kill_trial4
kafka_streams,,sliding_sum,failure_broker_kill_trial5,20.0,2001,1286,1286,1286,True,6151.717,18959.015,23511.294,36150.004,1002.821,23128.0,125.839,1784548991573.0,experiments/results/kafka_streams_sliding_sum_latency_failure_broker_kill_trial5
kafka_streams,,sliding_sum,failure_changelog_restore,20.0,2001,1286,1286,1286,True,6946.469,20440.893,24091.369,29597.486,1002.649,22672.0,1075.872,1784421935162.0,experiments/results/kafka_streams_sliding_sum_latency_failure_changelog_restore
kafka_streams,,sliding_sum,failure_changelog_restore_trial1,20.0,2001,1286,1286,1286,True,7042.044,20540.731,24192.449,29174.545,1001.587,23049.0,1077.859,1784536076044.0,experiments/results/kafka_streams_sliding_sum_latency_failure_changelog_restore_trial1
kafka_streams,,sliding_sum,failure_changelog_restore_trial2,20.0,2001,1286,1286,1286,True,6600.484,20103.388,23755.328,28662.11,1001.844,22491.0,1069.115,1784570256654.0,experiments/results/kafka_streams_sliding_sum_latency_failure_changelog_restore_trial2
kafka_streams,,sliding_sum,failure_changelog_restore_trial3,20.0,2001,1286,1286,1286,True,6826.928,20325.722,23977.4,28865.852,1001.468,23361.0,1066.147,1784547850291.0,experiments/results/kafka_streams_sliding_sum_latency_failure_changelog_restore_trial3
kafka_streams,,sliding_sum,failure_changelog_restore_trial4,20.0,2001,1286,1286,1286,True,6634.291,20138.929,23791.183,28734.428,1001.938,22383.0,1068.851,1784549378652.0,experiments/results/kafka_streams_sliding_sum_latency_failure_changelog_restore_trial4
kafka_streams,,sliding_sum,failure_changelog_restore_trial5,20.0,2001,1286,1286,1286,True,7224.551,20728.452,24380.251,29148.85,1001.721,23119.0,1061.284,1784563784975.0,experiments/results/kafka_streams_sliding_sum_latency_failure_changelog_restore_trial5
kafka_streams,,sliding_sum,failure_jvm_kill_trial1,20.0,2001,1286,1286,1286,False,5683.38,42951.741,50601.2,67551.773,1001.633,49679.0,125.576,1784606583727.0,experiments/results/kafka_streams_sliding_sum_latency_failure_jvm_kill_trial1
kafka_streams,,sliding_sum,failure_jvm_kill_trial2,20.0,2001,1286,1286,1286,False,6088.723,42121.486,49771.008,66722.091,1002.785,48739.0,137.167,1784609369809.0,experiments/results/kafka_streams_sliding_sum_latency_failure_jvm_kill_trial2
kafka_streams,,sliding_sum,failure_jvm_kill_trial3,20.0,2001,1286,1286,1286,False,5401.438,42669.66,50319.623,67269.911,1002.793,49236.0,136.806,1784613824799.0,experiments/results/kafka_streams_sliding_sum_latency_failure_jvm_kill_trial3
kafka_streams,,sliding_sum,failure_jvm_kill_trial4,20.0,2001,1286,1286,1286,False,6285.903,42540.638,50190.574,67141.526,1001.979,49132.0,160.553,1784607129626.0,experiments/results/kafka_streams_sliding_sum_latency_failure_jvm_kill_trial4
kafka_streams,,sliding_sum,failure_jvm_kill_trial5,20.0,2001,1286,1286,1286,False,6209.553,42974.221,50623.837,67574.765,1001.381,49858.0,165.414,1784605492389.0,experiments/results/kafka_streams_sliding_sum_latency_failure_jvm_kill_trial5
kafka_streams,,sliding_sum,failure_kraft_failover,20.0,2001,1286,1286,1286,True,5254.974,18462.382,23204.108,28852.74,1001.768,22598.0,129.725,1784420055559.0,experiments/results/kafka_streams_sliding_sum_latency_failure_kraft_failover
kafka_streams,,sliding_sum,failure_kraft_failover_trial1,20.0,2001,1286,1286,1286,True,6313.393,19772.359,23425.074,28914.543,1002.405,21946.0,489.65,1784586227913.0,experiments/results/kafka_streams_sliding_sum_latency_failure_kraft_failover_trial1
kafka_streams,,sliding_sum,failure_kraft_failover_trial2,20.0,2001,1286,1286,1286,True,5251.131,18508.206,22923.318,36908.161,1001.378,22127.0,128.912,1784559577072.0,experiments/results/kafka_streams_sliding_sum_latency_failure_kraft_failover_trial2
