stream-state-bench-kstreams-kafka-2  | ===> User
stream-state-bench-kstreams-kafka-2  | uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
stream-state-bench-kstreams-kafka-2  | ===> Setting default values of environment variables if not already set.
stream-state-bench-kstreams-kafka-2  | ===> Configuring ...
stream-state-bench-kstreams-kafka-2  | Running in KRaft mode...
stream-state-bench-kstreams-kafka-2  | ===> Launching ... 
stream-state-bench-kstreams-kafka-2  | ===> Using provided cluster id MkU3OEVBNTcwNTJENDM2Qk ...
stream-state-bench-kstreams-kafka-2  | [2026-07-20 21:29:26,375] INFO Registered `kafka:type=kafka.Log4jController` MBean (kafka.utils.Log4jControllerRegistration$)
stream-state-bench-kstreams-kafka-2  | [2026-07-20 21:29:26,514] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
stream-state-bench-kstreams-kafka-2  | [2026-07-20 21:29:26,515] INFO [ControllerServer id=2] Starting controller (kafka.server.ControllerServer)
stream-state-bench-kstreams-kafka-2  | [2026-07-20 21:29:26,621] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
stream-state-bench-kstreams-kafka-2  | [2026-07-20 21:29:26,640] INFO [SocketServer listenerType=CONTROLLER, nodeId=2] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
stream-state-bench-kstreams-kafka-2  | [2026-07-20 21:29:26,644] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
stream-state-bench-kstreams-kafka-2  | [2026-07-20 21:29:26,645] INFO [SharedServer id=2] Starting SharedServer (kafka.server.SharedServer)
stream-state-bench-kstreams-kafka-2  | [2026-07-20 21:29:26,671] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
